cleavage_id,species,cleavage_position,mean_usage,raw_usage_sd,raw_usage_mad,raw_usage_iqr,raw_usage_range,empirical_logit_sd,observed_logit_variance,mean_expected_sampling_variance,latent_logit_variance,latent_logit_sd,tissue_logit_sd,embryo_logit_abs_diff,dominant_state,dominant_state_fraction,fraction_SAME_MULTILOOP_INTERVAL,fraction_DIFFERENT_INTERVALS_SAME_MULTILOOP,fraction_MULTILOOP_TO_ARM,fraction_SAME_MULTILOOP_ARM,fraction_DIFFERENT_MULTILOOP_ARMS,usage_HEAD,logit_HEAD,usage_OVARY,logit_OVARY,usage_TESTIS,logit_TESTIS,usage_EARLY_EMBRYO_0_12H,logit_EARLY_EMBRYO_0_12H,usage_LATE_EMBRYO_12_24H,logit_LATE_EMBRYO_12_24H
Ras85D_EBC_MEL_CLV_0012,D.melanogaster,931.0,0.34225909226420004,0.14038881708377343,0.07810860348613943,0.1632723938653034,0.34479725266101025,0.6300387534718053,0.3969488308763062,0.011551702515103847,0.3853971283612024,0.6208036149711134,0.5697541274041222,1.1353369289282724,SAME_MULTILOOP_ARM,1.0,0.0,0.0,0.0,1.0,0.0,0.43031784841075793,-0.2798612007356005,0.19700876740587933,-1.4041085973950176,0.26704545454545453,-1.002951170098997,0.27511737089201876,-0.9682828442651062,0.5418060200668896,0.16705408466316624
Ras85D_EBC_MEL_CLV_0011,D.melanogaster,867.0,0.014228346812283948,0.011850941816719656,0.009371305256149775,0.014376027524957204,0.030100334448160536,0.9618991110142833,0.9252498997700684,0.4780263122661924,0.44722358750387603,0.6687477757001334,0.7921903814656697,0.38252020704207057,SAME_MULTILOOP_ARM,0.6,0.0,0.0,0.0,0.6,0.4,0.012224938875305624,-4.2979036442601215,0.007220216606498195,-4.888792303828435,0.0,-5.8664680569332965,0.0215962441314554,-3.802831984727541,0.030100334448160536,-3.4203117776854706
Ras85D_EBC_MEL_CLV_0010,D.melanogaster,741.0,0.033259290692330246,0.023732467788597174,0.008799283998304206,0.03979909981715035,0.0498570887427253,0.7818107257094961,0.6112280108344089,0.07439603837985134,0.5368319724545576,0.7326881822812196,0.7527295123483922,0.6440345015018298,MULTILOOP_TO_ARM,0.5,0.0,0.0,0.5,0.0,0.5,0.061124694376528114,-2.713265336781318,0.01701908200103146,-4.041478940466598,0.056818181818181816,-2.763620052257021,0.011267605633802818,-4.454109963868389,0.020066889632107024,-3.8100754623665596
Ras85D_EBC_MEL_CLV_0009,D.melanogaster,607.0,0.012273270902019993,0.01034494717105792,0.006227981608059911,0.011481111608526464,0.026755852842809364,0.927514975328494,0.8602840294586168,0.47722162528182366,0.38306240417679316,0.618920353661756,0.9891237494170456,1.597761083464082,DIFFERENT_MULTILOOP_ARMS,0.75,0.0,0.0,0.08333333333333333,0.16666666666666666,0.75,0.017114914425427872,-3.982792076316353,0.01186178442496132,-4.401255463670497,0.0,-5.8664680569332965,0.005633802816901409,-5.132734925758358,0.026755852842809364,-3.534973842294276
Ras85D_EBC_MEL_CLV_0008,D.melanogaster,560.0,0.04112487518352671,0.034078283090618125,0.00719384406207511,0.03311982735860969,0.07994451200972941,0.7545004892847511,0.5692709883309288,0.09925369891778821,0.4700172894131406,0.6855780695246462,0.15425306170579065,0.719211281807441,DIFFERENT_MULTILOOP_ARMS,0.6,0.0,0.008333333333333333,0.21666666666666667,0.175,0.6,0.017114914425427872,-3.982792076316353,0.024239298607529654,-3.684924274271008,0.017045454545454544,-3.903414630891546,0.050234741784037557,-2.935093116748203,0.09698996655518395,-2.215881834940762
Ras85D_EBC_MEL_CLV_0007,D.melanogaster,480.0,0.0046290055275823565,0.004229579460060533,0.002196580043402001,0.002249847905690049,0.011363636363636364,0.7711046114408064,0.594602321785277,0.6559350089625868,0.0,0.0,0.7165934607608454,1.0872296663642818,DIFFERENT_MULTILOOP_ARMS,0.8222222222222222,0.02222222222222222,0.0,0.1222222222222222,0.03333333333333333,0.8222222222222222,0.0024449877750611247,-5.607026806191893,0.0046415678184631255,-5.314242517097796,0.011363636363636364,-4.2456340097683265,0.004694835680751174,-5.3080319317511675,0.0,-6.395261598115449
Ras85D_EBC_MEL_CLV_0006,D.melanogaster,419.0,0.00429283547042336,0.004560958497324412,0.00417910592314416,0.004374245792515235,0.011363636363636364,1.1452574575551873,1.3116146440857714,0.7148831512989204,0.596731492786851,0.772483975747621,1.501340360686522,1.0872296663642818,DIFFERENT_MULTILOOP_ARMS,0.6746031746031746,0.007936507936507936,0.0,0.20238095238095238,0.11507936507936507,0.6746031746031746,0.004889975550122249,-5.093750200806762,0.0005157297576070139,-7.164204649002819,0.011363636363636364,-4.2456340097683265,0.004694835680751174,-5.3080319317511675,0.0,-6.395261598115449
Ras85D_EBC_MEL_CLV_0005,D.melanogaster,351.0,0.4040133783205384,0.1439891590944274,0.09985524403394441,0.20689417679672167,0.3393467308080399,0.632502903421932,0.40005992283717384,0.01159205832405492,0.38846786451311893,0.6232719025538684,0.5856632324842085,1.2278224737852579,MULTILOOP_TO_ARM,0.40277777777777773,0.02777777777777778,0.0,0.40277777777777773,0.2777777777777778,0.2916666666666667,0.2860635696821516,-0.9120263330876975,0.5600825167612171,0.24137125746198904,0.4602272727272727,-0.1585232272398676,0.49295774647887325,-0.028157655661885578,0.22073578595317725,-1.2559801294471435
Ras85D_EBC_MEL_CLV_0004,D.melanogaster,309.0,0.10814577034890156,0.04814769091678285,0.03410087480357474,0.07581915267681187,0.10925559097941767,0.5440924053710366,0.29603654558244047,0.03887614316280178,0.25716040241963867,0.5071098524182297,0.6607149040174949,0.7335897564293303,DIFFERENT_MULTILOOP_ARMS,1.0,0.0,0.0,0.0,0.0,1.0,0.1393643031784841,-1.8132656744490185,0.16039195461578132,-1.6540152864887803,0.05113636363636364,-2.869691552658626,0.12629107981220658,-1.9325695029637198,0.06354515050167224,-2.66615925939305
Ras85D_EBC_MEL_CLV_0003,D.melanogaster,195.0,0.012738247537316772,0.011917721324460135,0.006704486848891181,0.01543212002249848,0.028409090909090908,1.1756927516846987,1.3822534463639387,0.488555833215193,0.8936976131487456,0.9453558129872295,0.8052959688168679,1.4118911875809994,SAME_MULTILOOP_ARM,0.6666666666666666,0.0,0.0,0.05555555555555555,0.6666666666666666,0.27777777777777773,0.022004889975550123,-3.741421967901919,0.006704486848891181,-4.9607704786218285,0.028409090909090908,-3.4398351743675692,0.006572769953051643,-4.98337041053445,0.0,-6.395261598115449
